Wallet address,@handle,Type,Stellar Expert
CB4N3WR2IM273X5D44246YEG67KRIKIFPVORCLH7Q2GCJZLBHIGOD37B,@aeztrest,passkey smart-wallet,https://stellar.expert/explorer/testnet/contract/CB4N3WR2IM273X5D44246YEG67KRIKIFPVORCLH7Q2GCJZLBHIGOD37B
CBGHZW7M5XX36VN7ZVCVG4J2XBV7XWBLQ3OW2SEDIATJ3ZFFER5NM2VN,@0xbeks,passkey smart-wallet,https://stellar.expert/explorer/testnet/contract/CBGHZW7M5XX36VN7ZVCVG4J2XBV7XWBLQ3OW2SEDIATJ3ZFFER5NM2VN
CCAFVPUK4SQ4Q7FMTNO3G7WTD4V5N3ZBBDQNENMDXAZB6UY6NK4NRI27,@jnk,passkey smart-wallet,https://stellar.expert/explorer/testnet/contract/CCAFVPUK4SQ4Q7FMTNO3G7WTD4V5N3ZBBDQNENMDXAZB6UY6NK4NRI27
CCEAF4EOLPGAIRYRMIJ7RHXPFSNE2JWXR4KHWBKOKG4TAHWY7Q5DOR6Z,@beko,passkey smart-wallet,https://stellar.expert/explorer/testnet/contract/CCEAF4EOLPGAIRYRMIJ7RHXPFSNE2JWXR4KHWBKOKG4TAHWY7Q5DOR6Z
CDNCQGVFMCTCQWIPJNCQKDBV22MRC6Z4J53UWGFJHFHFKCX6I275VKLX,@baapu,passkey smart-wallet,https://stellar.expert/explorer/testnet/contract/CDNCQGVFMCTCQWIPJNCQKDBV22MRC6Z4J53UWGFJHFHFKCX6I275VKLX
GA53DPGJEA36PXXN4MQERH37IWE6FIRMS7NW4APAK2TJGRZHVYH4NN6A,@pelin,classic,https://stellar.expert/explorer/testnet/account/GA53DPGJEA36PXXN4MQERH37IWE6FIRMS7NW4APAK2TJGRZHVYH4NN6A
GA7LMJWQZOAXDVRMU4QFHIG52D7OCT55SO2JCJS4AHMXZG7LRDCSM626,@sinem,classic,https://stellar.expert/explorer/testnet/account/GA7LMJWQZOAXDVRMU4QFHIG52D7OCT55SO2JCJS4AHMXZG7LRDCSM626
GAAPIURULQPFLHONMKFV5JFGJGJE7T6ZUJ4OMRXOCNQU5GEKJWKMKEMI,@umut,classic,https://stellar.expert/explorer/testnet/account/GAAPIURULQPFLHONMKFV5JFGJGJE7T6ZUJ4OMRXOCNQU5GEKJWKMKEMI
GAC7P47N3VQ4RUTP5PDXPKYAO5N7CN5P3FF3DDC2PXEVNUHSP3LZQ5N5,@leyla,classic,https://stellar.expert/explorer/testnet/account/GAC7P47N3VQ4RUTP5PDXPKYAO5N7CN5P3FF3DDC2PXEVNUHSP3LZQ5N5
GAEMO36O26HC6C7MTIHY5WOUTPJQBC2A6I7MQSKFSLRMTUOUT4R3WODX,@nazli,classic,https://stellar.expert/explorer/testnet/account/GAEMO36O26HC6C7MTIHY5WOUTPJQBC2A6I7MQSKFSLRMTUOUT4R3WODX
